Sr. no. ,Song Title ,Movie,Year of release,Music director,Song type,Singer type,Singers,Youtube link,Audio Link
1,Aachal ke tuze,Door gagan ki Chhao mein,1964,Kishor Kumar,solo,Male,Kishor Kumar,https://www.youtube.com/watch?v=V8vQxix0yyo,http://mymp3song.org/filedownload/42376/aa_chal_ke_tujhe
2,AA Dekhe jara ,Rocky,1981,R D Barman,Duet,Male&Female,Kishor Kumar & Asha Bhosale,https://www.youtube.com/watch?v=yCNbITasdqE,http://mymp3song.org/filedownload/12818/aa_dekhen_zara
3,Aadmi jo kaheta Hai,Majboor,1974,lakshmikant Pyarelal,solo,Male,Kishor Kumar,https://www.youtube.com/watch?v=-ArgZa-UsAM,http://mymp3song.org/filedownload/10599/aadmi_jo_kehta_hai
4,Aai Khuda Har faisala tera Muze Manjur hai,Abdullah,1980,R D Barman,solo,Male,Kishor Kumar,https://www.youtube.com/watch?v=SJFAls-GDrk,http://mymp3song.org/filedownload/12632/aai_khuda_har_faisla
5,Aaiye Shauk se Kahiye,Parvarish,1977,lakshmikant Pyarelal,Duet,Male&Female,Kishor Kumar & Asha Bhosale,https://www.youtube.com/watch?v=yaaoqmrY67s,http://mymp3song.org/filedownload/17891/aaiye_shauk_se_kahiye
6,Aaj ka ye din,Nastik,1983,kalyanji Anandji,solo,Male,Kishor Kumar,https://www.youtube.com/watch?v=NSEO_q-1feM,http://mymp3song.org/filedownload/12146/aaj_ka_ye_din
7,Aaj Madhosh Hua Jaye re,Sharmili,1971,S D barman,Duet,Male&Female,Kishor Kumar& Lata Mangeshkar,https://www.youtube.com/watch?v=otbDicOFtfs,http://mymp3song.org/filedownload/15478/aaj_madhosh_hua_jaye_re
8,Aaj na chhodenge ,Kati patang,1970,R D Barman,Duet,Male&Female,Kishor Kumar& Lata Mangeshkar,https://www.youtube.com/watch?v=hCLW9VOLpuc,http://mymp3song.org/filedownload/45705/aaj_na_chhodenge
9,Aaj Rapat jaye to hame na uthaiyo,Namak Halal,1982,Bappi Lahiri,Duet,Male&Female,Kishor Kumar & Asha Bhosale,https://www.youtube.com/watch?v=oeQGqEQq9qw,http://mymp3song.org/filedownload/12176/aaj_rapat_jaye_to_hame_na_uthaiyo
10,Aake seedhi lagi dilpe jaise,Half Ticket,1962,Salil Chowdhary,solo,Male,Kishor Kumar,https://www.youtube.com/watch?v=ZJwOzpW3k7g,http://mymp3song.org/filedownload/4006/aake_seedhi_lagi_dil_pe_jaise
11,Aane wala pal jane wala hai,Golamal,1979,R D Barman,solo,Male,Kishor Kumar,https://www.youtube.com/watch?v=AFRAFHtU-PE,http://mymp3song.org/filedownload/2639/aanewala_pal_janewala_hai
12,Aankho Aankho me bat hone do,Aankho Aankho me ,1972,Shankar Jaikisan,Duet,Male&Female,Kishor Kumar & Asha Bhosale,https://www.youtube.com/watch?v=KCOSfVFVy1k,http://mymp3song.org/filedownload/38598/aankhon_aankhon_mein
13,Aapke kamare me koi,Yadon ki barat,1973,R D Barman,Duet,Male&Female,Kishor Kumar & Asha Bhosale& R D Barman,https://www.youtube.com/watch?v=fmnmiuSboJs,http://mymp3song.org/filedownload/7907/aap_ke_kamre_mein
14,Aap ki Aankhon me kuch,ghar,1978,R D Barman,Duet,Male&Female,Kishor Kumar& Lata Mangeshkar,https://www.youtube.com/watch?v=NbqCWwlNKrA,http://mymp3song.org/filedownload/2654/aap_ki_aankhon_mein_kuch
15,Aap yahan aaye kisliye,kal aaj aur kal,1971,Shankar Jaikisan,Duet,Male or Female,Kishor Kumar & Asha Bhosale,https://www.youtube.com/watch?v=dVVneMi8aGw,http://mymp3song.org/filedownload/12048/aap_yahan_aaye_kisliye
16,Aap ke anurodh pe mai ye git,Anurodh,1977,Lakshmikant Pyarelal,solo,male,Kishor Kumar,https://www.youtube.com/watch?v=Ih1a1HeXItc,http://mymp3song.org/filedownload/13257/aapke_anurodh_pe
17,Aashiq hoon Baharon ka,Aashiq hoon Baharon ka,1977,lakshmikant Pyarelal,solo,male,Kishor Kumar,https://www.youtube.com/watch?v=UxJQ9jSGrmw,http://mymp3song.org/filedownload/13106/aashiq_hoon_baharon_ka
18,Aasaman ke neeche,Jewel Thief,1967,S D barman,Duet,Male&Female,Kishor Kumar& Lata Mangeshkar,https://www.youtube.com/watch?v=VqZO__oc7uQ,http://mymp3song.org/filedownload/10509/aasman_ke_neeche
19,Aate jate Khoob Surat Aawara,Anurodh,1977,lakshmikant Pyarelal,solo,male,Kishor Kumar,https://www.youtube.com/watch?v=Tg52t-NaM1o,http://mymp3song.org/filedownload/45592/aate_jate_khoobsurat_awara
20,Aati rahengi baharen,kasme Wade,1978,R D Barman,Duet,Male&Female,Amit Kumar&Asha Bhosale&Kishor Kumar,https://www.youtube.com/watch?v=CD2KC79uaes,http://mymp3song.org/filedownload/11978/aati_rahengi_baharen
21,Aaye tum Yad muze,Mili,1975,S D barman,solo,male,Kishor Kumar,https://www.youtube.com/watch?v=UR8fYR4Yyy4,http://mymp3song.org/filedownload/10595/aaye_tum_yaad_mujhe
22,Ab chahe maruthe ya baba,Dag,1973,lakshmikant Pyarelal,Duet,Male&Female,Kishor Kumar& Lata Mangeshkar,https://www.youtube.com/watch?v=hjhQLGEQRhc,http://mymp3song.org/filedownload/46088/ab_chahe_ma_roothe_yaa_baba_-_revival
23,Abke sawan mein Jee dare,jaise ki taisa,1973,R D Barman,Duet,Male&Female,Kishor Kumar& Lata Mangeshkar,https://www.youtube.com/watch?v=GASi_HbNOys,http://mymp3song.org/filedownload/44246/ab_ke_sawan_mein_jee_dare
24,Achha to hum chalte hain,Aan Milo Sajana,1970,lakshmikant Pyarelal,Duet,Male&Female,Kishor Kumar& Lata Mangeshkar,https://www.youtube.com/watch?v=Xe55gfVfHig,http://mymp3song.org/filedownload/14214/achha_to_hum_chalte_hain
25,Ae mera dil mat kar kisipe aitbaar,Albela,1971,Shankar Jaikisan,solo,male,Kishor Kumar,https://www.youtube.com/watch?v=ZGoS0s9ZDws,http://mymp3song.org/filedownload/38590/ae_mere_dil_mat_kar_kisi_pe_aitbaar
26,Agar saj chheda,Jawani Diwani,1972,R D Barman,Duet,Male&Female,Kishor Kumar & Asha Bhosale,https://www.youtube.com/watch?v=3TZhiDHVQ4o,http://mymp3song.org/filedownload/10404/agar_saaz_chheda
27,Agar Tum na Hote,Agar Tum na Hote,1983,R D Barman,solo,male,Kishor Kumar,https://www.youtube.com/watch?v=JtUr5TU3SY0,http://mymp3song.org/filedownload/12325/agar_tum_na_hote_-_sad_-_male
28,Choo kar mere Mann Ko ,yarana,1981,Rajesh Roshan,solo,male,Kishor Kumar,https://www.youtube.com/watch?v=BOLYNw3x1lE,http://mymp3song.org/filedownload/43900/chookar_mere_mann_ko
29,Aise na muze tum dekho,Darling Darling,1977,R D Barman,solo,male,Kishor Kumar,https://www.youtube.com/watch?v=fPEKEpV9JJw,http://mymp3song.org/filedownload/42590/aise_na_mujhe
30,Ajanabi tum jane pahechane se lagate ho,Hum Sab Ustad Hai,1965,lakshmikant Pyarelal,solo,male,Kishor Kumar,https://www.youtube.com/watch?v=3Pmw1FnXnOY,http://mymp3song.org/filedownload/3946/ajnabi_tum_jaane_pehchane_se_-_male
31,Albela Mausam Kaheta hai Swagatam,Tohfa,1984,Bappi Lahiri,Duet,Male&Female,Kishor Kumar& Lata Mangeshkar,https://www.youtube.com/watch?v=aLZK7y8mcaE,http://mymp3song.org/filedownload/13740/albela_mausam_kehta_hai_swagatam
32,Allha megh de pani de,Palkonki chhav mein,1977,lakshmikant Pyarelal,Duet,Male&Female,Kishor Kumar & Asha Bhosale,https://www.youtube.com/watch?v=GOG1-I8hnC4,http://mymp3song.org/filedownload/40948/allah_megh_de_pani_de
33,Amar Akbar Anthony,Amar Akbar Anthony,1977,lakshmikant Pyarelal,Duet,Male&Female,Kishor Kumar& Mahendra Kapoor&Shailedra Singh,https://www.youtube.com/watch?v=3GhGq7db9v0,http://mymp3song.org/filedownload/13242/amar_akbar_anthony
34,Amitabh nahi hoon,Chhota Admi,1986,"Mahesh, Naresh",solo,male,Kishor Kumar,https://www.youtube.com/watch?v=7LSctwLyF0M,http://mymp3song.org/filedownload/41587/amitabh_nahin_hoon_-_happy
35,Andheri raaton mein,shahenshah,1988,Utpal Biswas/Amar Biswas,solo,male,Kishor Kumar,https://www.youtube.com/watch?v=EFYmp3ClvAw,http://mymp3song.org/filedownload/15332/andheri_raaton_mein
36,Aakhon mein kya ji,Nau Do Gyarah,1957,S D barman,Duet,Male&Female,Kishor Kumar & Asha Bhosale,https://www.youtube.com/watch?v=tlfpzi609fE,http://mymp3song.org/filedownload/12871/ankhon_mein_kya_ji
37,Apne Jivan Ki uljhan ko,Uljhan,1975,kalyanji Anandji,solo,male,Kishor Kumar,https://www.youtube.com/watch?v=jeWqI-j8uuM,http://mymp3song.org/filedownload/43667/apne_jeevan_ki_uljhan_ko_-_male
38,Apni to jaise Taise,lawaris,1981,kalyanji Anandji,solo,male,Kishor Kumar,https://www.youtube.com/watch?v=oLlTli4T1xM,http://mymp3song.org/filedownload/10865/apni_to_jaise_taise
39,Are Diwano Muze pahechano,Don,1978,kalyanji Anandji,solo,male,Kishor Kumar,https://www.youtube.com/watch?v=T3lGXmthW1Q,http://mymp3song.org/filedownload/20347/are_diwano_mujhe_pehchano
40,Babu samjho Eshare,Chalti ka Nam Gadi,1958,S D barman,Duet,Male&Female,Kishor Kumar&Manna Dey,https://www.youtube.com/watch?v=xlbAlfzIPo0,http://mymp3song.org/filedownload/3758/babu_samjho_ishare
41,bachake rahana re baba,Pukar,1983,R D Barman,Duet,Male&Female,Kishor kumar&Asha Bhosale& R D barman,https://www.youtube.com/watch?v=2nFL25w6iso,http://mymp3song.org/filedownload/46400/bachke_rehna_re_baba
42,Bachana Ae Hasino lo main aa gaya,Hum Kisise kam nahi,1977,R D Barman,solo,male,Kishor Kumar,https://www.youtube.com/watch?v=ZsjLQOco35U,http://mymp3song.org/filedownload/3634/bachna_ae_hasinon_lo_main_aa_gaya
43,Bachapan har Gum se Begana Hota Hai,Geet Gaata Chal,1975,Ravindra Jain,solo,male,Kishor Kumar,https://www.youtube.com/watch?v=voC7BFtSZko,http://mymp3song.org/filedownload/2685/bachpan_har_gham_se_begana
44,Bheegi Bheegi raton mein,Ajanabee,1974,R D Barman,Duet,Male&Female,Kishor Kumar& Lata Mangeshkar,https://www.youtube.com/watch?v=7IsvJVlFyGI,http://mymp3song.org/filedownload/14101/bheegi_bheegi_raaton_mein
45,Bhole O Bhole,yarana,1981,Rajesh Roshan,solo,male,Kishor Kumar,https://www.youtube.com/watch?v=Nqmp8-iD_As,http://mymp3song.org/filedownload/43895/bhole_o_bhole
46,Bam chike Chike Cham Chike Chike,Kahate hain Mujhako Raja,1975,R D Barman,solo,male,Kishor Kumar,https://www.youtube.com/watch?v=E93060hRRmY,http://mymp3song.org/filedownload/37868/bam_chike_chike_cham_chike_chike
47,Bani Rahe Jodi Raja Rani Ki ,Khoon Pasina,1977,kalyanji Anandji,solo,male,Kishor Kumar,https://www.youtube.com/watch?v=m4bb0Np9VNA,http://mymp3song.org/filedownload/11980/bani_rahe_jodi_raja_rani_ki
48,Baraso Purana ye Yaarana,Hera Pheri,1976,kalyanji Anandji,solo,male,Kishor Kumar,https://www.youtube.com/watch?v=QtPqpnxLkZQ,http://mymp3song.org/filedownload/3638/barson_purana_ye_yaarana
49,Beqarare Dil Tu Gaye Ja,Door Ka Rahi,1971,Kishor Kumar,Duet,Male&Female,Kishor Kumar& Sulakshana Pandit,https://www.youtube.com/watch?v=v0A1D26wFiA,http://mymp3song.org/filedownload/42515/beqarar_dil_tu_gaaye_ja
50,Bhanvare Ki Gunjan,kal aaj aur kal,1971,Shankar Jaikisan,solo,male,Kishor Kumar,https://www.youtube.com/watch?v=6aMH-zOmTh8,http://mymp3song.org/filedownload/12045/bhanware_ki_gunjan
51,Bap Ki kasam,Mawali,1983,Bappi Lahiri,Duet,Male& Female,Kishor Kumar&Asha Bhosale,https://www.youtube.com/watch?v=XiMFf7Qgr6A,http://mymp3song.org/filedownload/39218/baap_ki_kasam
52,Badi Sooni Sooni hai,Mili,1975,R D Barman,Solo,Male ,Kishor Kumar ,https://www.youtube.com/watch?v=q659UcAUI1M,http://mymp3song.org/filedownload/46058/badi_sooni_sooni_hai_-_revival
53,Bahoot Khoobsurat Jawan Ek Ladki,Dostana,1980,Laxmikant Pyarelal,Solo,male,Kishor Kumar ,https://www.youtube.com/watch?v=zOLQ92x-jqg,http://mymp3song.org/filedownload/42684/bahoot_khoobsurat_jawan_ek_ladki
54,Bahut Door Mujhe Chale Jaana Hai,Heera Panna,1973,R D Barman,Duet,Male& Female,Kishor Kumar& Lata Mangeshkar,https://www.youtube.com/watch?v=-e2qoDsEDu8,http://mymp3song.org/filedownload/3876/bahut_door_mujhe_chale_jaana_hai
55,Baith Ja Khadi Ho Ja,Amir Garib,1974,Laxmikant Pyarelal,Duet,Male& Female,Kishor Kumar& Lata Mangeshkar,https://www.youtube.com/watch?v=V3t8SunHzkk,http://mymp3song.org/filedownload/14093/baith_ja_khadi_ho_ja
56,Ban Gaya Buddha Sharabi,Aap Beati,1976,Laxmikant Pyarelal,Duet,Male,Kishor Kumar& Manna Dey,https://www.youtube.com/watch?v=h4A48UwtkJw,http://mymp3song.org/filedownload/38673/ban_gaya_buddha_sharabi
57,Band Mutthi Lakh Ki,Chalti Ka Nam Jindagi,1982,Kishor Kumar,Duet,Male,Kishor Kumar& Manna Dey& Rafi,https://www.youtube.com/watch?v=xv_Bzh_d12E,http://mymp3song.org/filedownload/41382/band_mutthi_lakh_ki
58,Barah Baje Ki Suiyon Jaise,Jhoota Kahi Ka,1979,R D Barman,Duet,Male& Female,Kishor Kumar&Asha Bhosale,https://www.youtube.com/watch?v=jTWyxrjioAg,http://mymp3song.org/filedownload/44263/barah_baje_ki_suiyon_jaise
59,Bhaiya Re Bhaiya Re,Jaise Ko Taisa,1973,R D Barman,Duet,Male& Female,Kishor Kumar&Asha Bhosale,https://www.youtube.com/watch?v=ebU9JZDgRJs,http://mymp3song.org/filedownload/44242/bhaiya_re_bhaiya_re
60,Bhali Bhali Si Ek Surat,Buddha Mil Gaya,1971,R D Barman,Duet,Male& Female,Kishor Kumar&Asha Bhosale,https://www.youtube.com/watch?v=r1hWkp6umX8,http://mymp3song.org/filedownload/5485/bhali_bhali_si_ek_surat
61,Bheegi Bheegi Aankhen,Ishk Ishk Ishk,1974,R D Barman,Duet,Male& Female,Kishor Kumar&Asha Bhosale,https://www.youtube.com/watch?v=xsybTQfP6XA,http://mymp3song.org/filedownload/1391/bheegi_bheegi_aankhen
62,Bol Meri Gudiya,Bhai Ho to Aisa,1972,Sonik Omi,Duet,Male& Female,Kishor Kumar& Lata Mangeshkar,https://www.youtube.com/watch?v=Swqmw3wRHzc,http://mymp3song.org/filedownload/39829/bol_meri_gudiya
63,Bombai Shahar Ki,Piya Ka Ghar,1972,Laxmikant Pyarelal,Solo,Male ,Kishor Kumar ,https://www.youtube.com/watch?v=5ywpma1h3GM,http://mymp3song.org/filedownload/17866/bombai_shahar_ki
64,Bye Bye Miss Good Night,Premnagar,1974,S D Barman,Solo,Male ,Kishor Kumar ,https://www.youtube.com/watch?v=KhlUY7VI4Wo,http://mymp3song.org/filedownload/40937/bye_bye_miss_good_night
65,C A T Cat Mane Billi,Dilli Ka Thag,1958,Ravi,Duet,Male& Female,Kishor Kumar&Asha Bhosale,https://www.youtube.com/watch?v=GLVJ_QGcPyE,http://mymp3song.org/filedownload/42204/c_a_t_cat_mane_billi_-_dialogue
66,Chahe Koi Khush Ho,Taxi Driver,1954,S D Barman,Solo,Male,Kishor Kumar &  Corus,https://www.youtube.com/watch?v=c1JCACRMoZ8,http://mymp3song.org/filedownload/14557/chahe_koi_khush_ho
67,Chahe Raho Door Chahe Raho Paas,Do Chor,1972,R D Barman,Duet,Male& Female,Kishor Kumar& Lata Mangeshkar,https://www.youtube.com/watch?v=jzpgRkOjqOg,http://mymp3song.org/filedownload/20422/chahe_raho_door_chahe_raho_paas
68,Chahiye Thoda Pyaar,Lahuke Do Rang,1979,Bappi Lahiri,Solo,Male ,Kishor Kumar ,https://www.youtube.com/watch?v=srfhnpDqZWg,http://mymp3song.org/filedownload/10891/chahiye_thoda_pyaar
69,Chal Dariya Mein Doob Jayen,Prem Kahani,1975,Laxmikant Pyarelal,Duet,Male& Female,Kishor Kumar& Lata Mangeshkar,https://www.youtube.com/watch?v=f5hW1FGNz_0,http://mymp3song.org/filedownload/17885/chal_dariya_mein_doob_jayen
70,Chal Kahin Door Nikal Jaayein,Doosara Aadmi,1977,Rajesh Roshan,Duet,Male& Female,Kishor Kumar& Lata Mangeshkar&Rafi,https://www.youtube.com/watch?v=cN9AVJlp3-g,http://mymp3song.org/filedownload/20363/chal_kahin_door_nikal_jaayein
71,Chal Shuru Ho Ja,Hamjoli,1970,Laxmikant Pyarelal,Duet,Male,Kishor Kumar& Rafi,https://www.youtube.com/watch?v=jAzpVucVHLY,http://mymp3song.org/filedownload/3913/chal_shuru_ho_ja
72,Chala Jata Hoon,Mere Jivan Sathi,1972,R D Barman,Solo,Male ,Kishor Kumar ,https://www.youtube.com/watch?v=6vCbtPN9skk,http://mymp3song.org/filedownload/10630/chala_jata_hoon
73,Chali Re Chali Gori,Mr. X In Bombay,1964,Laxmikant Pyarelal,Duet,Male& Female,Kishor Kumar& Lata Mangeshkar,https://www.youtube.com/watch?v=-2xsALk9nLw,http://mymp3song.org/filedownload/11421/chali_re_chali_gori
74,Chalte Chalte,Chalte Chalte,1976,Bappi Lahiri,Solo,Male ,Kishor Kumar ,https://www.youtube.com/watch?v=H8AyRE5tOIs,http://mymp3song.org/filedownload/3303/chalte_chalte_-_sad
75,Chalti Ka Naam Zindagi ,Chalti Ka Naam Zindagi ,1982,Kishor Kumar,Duet,Male,Kishor Kumar& Mahedra kapur,https://www.youtube.com/watch?v=xv_Bzh_d12E,http://mymp3song.org/filedownload/41374/chalti_ka_naam_zindagi_-_duet
76,Chand Chra Ke Laya Hoon,Devata ,1978,R D Barman,Duet,Male& Female,Kishor Kumar& Lata Mangeshkar,https://www.youtube.com/watch?v=Qs4lWVCEb0A,http://mymp3song.org/filedownload/20360/chand_churake_laya_hoon
77,Chand Chal Tu Zara Dheeme,Who Jo Haseena,1983,Ramlaxamna,Solo,Male ,Kishor Kumar ,https://www.youtube.com/watch?v=40Yq_dyhWuo,http://mymp3song.org/filedownload/43819/chand_chal_tu_zara_dheeme
78,Chand Raat Tum Ho,Half Ticket,1962,Salil Chaudhari,Duet,Male& Female,Kishor Kumar& Lata Mangeshkar,https://www.youtube.com/watch?v=zFO9QvDV3JI,http://mymp3song.org/filedownload/4003/chand_raat_tum_ho
79,Chand Roz Aur Meri Jaan,Sitamgar,1985,R D Barman,Solo,Male ,Kishor Kumar ,https://www.youtube.com/watch?v=s1cROCGDuV8,http://mymp3song.org/filedownload/15360/chand_roz_aur_meri_jaan
80,Chanda O Chanda ,Lakhon Mein Ek,1971,R D Barman,Duet,Male& Female,Kishor Kumar,https://www.youtube.com/watch?v=a55oUxRfLQ4,http://mymp3song.org/filedownload/10909/chanda_o_chanda_-_duet
81,Chandni Chand Se Hoti Hai,Aaj Ka Mahatma,1976,Laxmikant Pyarelal,Duet,Male& Female,Kishor Kumar&Asha Bhosale,https://www.youtube.com/watch?v=5SmUCDMRc8Y,http://mymp3song.org/filedownload/38659/chandni_chand_se_hoti_hai
82,Chandni Raat Mein,Dil-E-Nadaan,1981,Mohammad Zahur Khayyam,Duet,Male& Female,Kishor Kumar& Lata Mangeshkar,https://www.youtube.com/watch?v=E_gnn11Zts4,http://mymp3song.org/filedownload/42767/chandni_raat_mein
83,Chandni Raat Yeh Sanam,Quidi,1984,Bappi Lahiri,Duet,Male& Female,Kishor Kumar&Asha Bhosale,https://www.youtube.com/watch?v=7VARr95wsi8,http://mymp3song.org/filedownload/17609/chandni_raat_yeh_sanam
84,Chandni Tu Hai Kahan,Faasale,1985,Shiv Hari,Duet,Male& Female,Kishor Kumar& Lata Mangeshkar,https://www.youtube.com/watch?v=xNcI9--fuAE,http://mymp3song.org/filedownload/935/chandni_tu_hai_kahan
85,Chapper Phad Ke Deta,Funtoosh,1956,S D Barman,Duet,Male& Female,Kishor Kumar&Asha Bhosale,https://www.youtube.com/watch?v=NoxSwTPneJY,http://mymp3song.org/filedownload/39306/chapper_phad_ke_deta
86,Charu Chandra Ki Chanchal Chitwan,Man Pasand,1980,Rajesh Roshan,Duet,Male& Female,Kishor Kumar& Lata Mangeshkar,https://www.youtube.com/watch?v=DiWE1OLG6sk,http://mymp3song.org/filedownload/10484/charu_chandra_ki_chanchal_chitwan
87,Come Near,Do Gulab,1983,Bappi Lahiri,Duet,Male& Female,Kishor Kumar&Asha Bhosale,https://www.youtube.com/watch?v=6umJyShWmgk,http://mymp3song.org/filedownload/42848/come_near
88,Chhai Ghata Bijli Kadki,Apana Haath Jagannath,1960,S D Barman,Duet,Male& Female,Kishor Kumar&Asha Bhosale,https://www.youtube.com/watch?v=qIDd_KVcZlE,http://mymp3song.org/filedownload/38527/chhai_ghata_bijli_kadki
89,Chhalkao Jhoomke Paimana,Fir Wahi Rat,1980,R D Barman,Solo,Male ,Kishor Kumar ,https://www.youtube.com/watch?v=gGY-YRoJwPY,http://mymp3song.org/filedownload/17900/chhalkao_jhoomke_paimana
90,Chhatri Na Khol Ud Jayegi,Do Jhoot,1975,Shankar Jaikishan,Duet,Male& Female,Kishor Kumar& Usha Mangeshkar,https://www.youtube.com/watch?v=K8PUF4eOhcI,http://mymp3song.org/filedownload/42582/chhatri_na_khol_ud_jayegi
91,Chhedo Na Meri Zulfen,Ganga Ki Laharen,1964,Chandragupt,Duet,Male& Female,Kishor Kumar& Lata Mangeshkar,https://www.youtube.com/watch?v=goA5oQbFFUU,http://mymp3song.org/filedownload/2861/chhedo_na_meri_zulfen
92,Dil Aaj Shayar Hai,Gambler,1971,S D Barman,Solo,Male,Kishor Kumar ,https://www.youtube.com/watch?v=vTQ_qbsz7Dw,http://mymp3song.org/filedownload/2740/dil_aaj_shayar_hai
93,Chhod Do Aanchal Zamana,Paying Gueat,1957,S D Barman,Duet,Male& Female,Kishor Kumar&Asha Bhosale,https://www.youtube.com/watch?v=SuMgYRG3vPU,http://mymp3song.org/filedownload/17736/chhod_do_aanchal_zamana
94,Chhodo Sanam,Kudrat,1981,R D Barman,Duet,Male& Female,Kishor Kumar& Annette Pinto,https://www.youtube.com/watch?v=jw4SSATf0hI,http://mymp3song.org/filedownload/11709/chhodo_sanam
95,Chhoti Si Yeh Duniya ,Rangoli,1961,Shankar Jaikishan,Solo,Male ,Kishor Kumar ,https://www.youtube.com/watch?v=rSkX-xcYxhg,http://mymp3song.org/filedownload/13292/chhoti_si_yeh_duniya_-_male
96,Chhoti Umar Me,Aakraman,1975,Laxmikant Pyarelal,Solo,Male ,Kishor Kumar ,https://www.youtube.com/watch?v=k2d50ZZzTPQ,http://mymp3song.org/filedownload/13273/chhoti_umar_me
97,Chidiya Choon Choon Karti Hai,Jyoti,1981,Bappi Lahiri,Solo,Male ,Kishor Kumar ,https://www.youtube.com/watch?v=WjMxPvONUc8,http://mymp3song.org/filedownload/10262/chidiya_choon_choon_karti_hai
98,Chil Chil Chilla Ke,Half Ticket,1962,Salil Chaudhari,Solo,Male ,Kishor Kumar ,https://www.youtube.com/watch?v=GhFvsgNu-CM,http://mymp3song.org/filedownload/3999/chil_chil_chilla_ke
99,Chingari Koi Bhadke,Amar Prem,1971,R D Barman,Solo,Male ,Kishor Kumar ,https://www.youtube.com/watch?v=kpM0jPd6-7w,http://mymp3song.org/filedownload/14184/chingari_koi_bhadke
100,Choodi Nahin Ye Mera Dil,Gambler,1971,S D Barman,Duet,Male& Female,Kishor Kumar& Lata Mangeshkar,https://www.youtube.com/watch?v=SPy1VYXSrYc,http://mymp3song.org/filedownload/2741/choodi_nahin_ye_mera_dil
101,Chookar Mere Mann Ko,Yaarana,1981,Rajesh Roshan,Solo,Male ,Kishor Kumar ,https://www.youtube.com/watch?v=BOLYNw3x1lE,http://mymp3song.org/filedownload/43900/chookar_mere_mann_ko
102,Dil Kya Chahe,Sanjog,1985,R D Barman,Duet,Male& Female,Kishor Kumar&Asha Bhosale,https://www.youtube.com/watch?v=QnEVxvdPoCY,http://mymp3song.org/filedownload/15471/dil_kya_chahe
103,Chor Tera Naam Hai,Jigar,1984,R D Barman,Duet,Male& Female,Kishor Kumar& Lata Mangeshkar,https://www.youtube.com/watch?v=IsD3dkG-ljo,http://mymp3song.org/filedownload/10218/chor_tera_naam_hai
104,Chori Chori Chupke Chupke,Bullet,1976,R D Barman,Duet,Male& Female,Kishor Kumar&Asha Bhosale,https://www.youtube.com/watch?v=eZQKigjPL8o,http://mymp3song.org/filedownload/5326/chori_chori_chupke_chupke
105,Chori Chori Yoon Jab,Papki Duniya,1988,Bappi Lahiri,Solo,Male ,Kishor Kumar ,https://www.youtube.com/watch?v=TC0vWJA_qYI,http://mymp3song.org/filedownload/41144/chori_chori_yoon_jab
106,Chori Mera Kaam,Chori Mera Kaam,1975,Kalyanji Anandji,Duet,Male& Female,Kishor Kumar&Asha Bhosale,https://www.youtube.com/watch?v=KSwyz2-2N9s,http://mymp3song.org/filedownload/41252/chori_mera_kaam
107,Chot Lagi Kahan Yahaan,Ghar Sansar,1986,Rajesh Roshan,Duet,Male& Female,Kishor Kumar&Asha Bhosale,https://www.youtube.com/watch?v=CmCWXxkmvx8,http://mymp3song.org/filedownload/40620/chot_lagi_kahan_yahaan
108,College Girl I Love You,College Girl,1978,Bappi Lahiri,Solo,Male ,Kishor Kumar ,https://www.youtube.com/watch?v=Z29xQb352Uw,http://mymp3song.org/filedownload/2697/college_girl_i_love_you
109,Chupke Se Dil Dede,Maryada,1971,Kalyanji Anandji,Duet,Male& Female,Kishor Kumar& Lata Mangeshkar,https://www.youtube.com/watch?v=2cC5kw8WJBI,http://mymp3song.org/filedownload/39136/chupke_se_dil_dede
110,Daakiyaa Daak Layaa,Palkon Ki Chhaon Mein,1977,Laxmikant Pyarelal,Duet,Male& Female,Kishor Kumar&Vandana Shastri,https://www.youtube.com/watch?v=u3rOmrDdPz0,http://mymp3song.org/filedownload/40949/daakiyaa_daak_layaa
111,Daal Kaise Gale,Baap Re Baap,1955,O P Nayyar,Solo,Male ,Kishor Kumar ,https://www.youtube.com/watch?v=KQiEohJZSEU,http://mymp3song.org/filedownload/44572/daal_kaise_gale
112,Daal Roti Khao Prabhu Ke Gun Gaao,Jawar Bhata,1973,Laxmikant Pyarelal,Duet,Male& Female,Kishor Kumar& Lata Mangeshkar,https://www.youtube.com/watch?v=fT7vHxsluMM,http://mymp3song.org/filedownload/44255/daal_roti_khao_prabhu_ke_gun_gaao
113,Dil Sachaa Aur Chehra Jhutha,Sachaa Jhoota,1970,Kalyanji Anandji,Solo,Male,Kishor Kumar ,https://www.youtube.com/watch?v=CoN9LbZS27E,http://mymp3song.org/filedownload/15494/dil_sachaa_aur_chehra_jhutha
114,Dariya Kinare Ek Bungla,Sabase bada Rupaiya,1976,Basu Manohari,Duet,Male& Female,Kishor Kumar& Lata Mangeshkar,https://www.youtube.com/watch?v=zZHHVT4CRto,http://mymp3song.org/filedownload/42545/dariya_kinare_ek_bungla
