Sr. no. ,Song Title ,Movie,Year of release,Music director,Song type,Singer type,Singers,Youtube link,Audio Link
170,Dum Tumhari Dum,Zaharila Insaan,1974,R D Burman,Solo,Male,Kishor Kumar,https://www.youtube.com/watch?v=4Jyn63XuCe8,http://mymp3song.org/filedownload/46913/dum_tumhari_dum
171,Duniya Dushman,Dilwala,1986,Bappi Lahiri,Solo,Male,Kishor Kumar,https://www.youtube.com/watch?v=G0vkrMhQBWY,http://mymp3song.org/filedownload/20296/duniya_dushman
172,Duniya Faani Baheta Paani,Chalaak,1972,Ganesh,Duet,Male& Female,Kishor Kumar&Asha Bhosale,https://www.youtube.com/watch?v=89b8INnJkhw,http://mymp3song.org/filedownload/3577/duniya_faani_bahta_paani
173,Duniya Muzase Kahati hai,Kahani Kismat Ki,1973,Kalyanji Aanandji,Solo,Male,Kishor Kumar,https://www.youtube.com/watch?v=-meMABQenN0,http://mymp3song.org/filedownload/12026/duniya_mujhse_kehti_hai
174,Duniyane Muze Tadapaya,Vishawanath,1978,Rajesh Roshan,Duet,Male& Female,Kishor Kumar& Lata Mangeshkar,https://www.youtube.com/watch?v=-McPhH3VdBw,http://mymp3song.org/filedownload/7662/duniya_ne_mujhe_tadpaya
175,Duniya O Duniya Tera,Naya Jamana,1971,S D Burman,Solo,Male,Kishor Kumar,https://www.youtube.com/watch?v=1PrBHeXfIVk,http://mymp3song.org/filedownload/40180/duniya_o_duniya_tera
176,Ee Hai bambai Nagariya,Don,1978,Kalyanji Aanandji,Solo,Male,Kishor Kumar,https://www.youtube.com/watch?v=ebIVzPU0NlQ,http://mymp3song.org/filedownload/20346/ee_hai_bambay_nagaria
177,Eena Meena Dika,Aasha,1957,C Ramchandra,Solo,Male,Kishor Kumar,https://www.youtube.com/watch?v=Se1EZCE_zLo,http://mymp3song.org/filedownload/13629/eena_meena_deeka_-_male
178,Ek Aankh Maru Toh,Tohafa,1984,Bappi Lahiri,Duet,Male& Female,Kishor Kumar&Asha Bhosale,https://www.youtube.com/watch?v=idoUsKylrR0&spfreload=10,http://mymp3song.org/filedownload/13738/ek_aankh_marun_toh
179,Ek Ajanabee Hasina Se ,Ajanabee,1974,R D Burman,Solo,Male,Kishor Kumar,https://www.youtube.com/watch?v=LgKueB7fCzs,http://mymp3song.org/filedownload/14100/ek_ajnabee_haseena_se
180,Ek Baar Muskura do,Ek Baar Muskura do,1972,O P Nayyar,Duet,Male& Female,Kishor Kumar&Asha Bhosale,https://www.youtube.com/watch?v=rH-Q4lJ8444,http://mymp3song.org/filedownload/648/ek_baar_muskura_do
181,Ek Chatur Naar Karake Singar,Padosan,1968,R D Burman,Duet,Male,Kishor Kumar&Manna Dey& Mahamood,https://www.youtube.com/watch?v=9HwrMGpFaik,http://mymp3song.org/filedownload/17809/ek_chatur_naar_karke_sringar
182,Ek Chhokariya,Heera,1973,Kalyanji Aanandji,Duet,Male& Female,Kishor Kumar& Ashabhosale& Mulkri&usha Khanna,https://www.youtube.com/watch?v=XiS7zi_JSxw,http://mymp3song.org/filedownload/3680/ek_chhokariya
183,Ek Dhoondho Milte Hai Hajaron,Pyara Dushman,1980,Bappi Lahiri,Duet,Male& Female,Kishor Kumar&Asha Bhosale,https://www.youtube.com/watch?v=DoFXbSaHvFk,http://mymp3song.org/filedownload/40955/ek_dhoondho_milte_hain_hazaron
184,Ek Din Bik Jayega,Dharam Karam,1975,R D Burman,Duet,Male& Female,Kishor Kumar&Mukesh& Sushma Shresthi& Poornima,https://www.youtube.com/watch?v=Mr-kpEgpfDg,http://mymp3song.org/filedownload/20401/ek_din_bik_jaayega
185,Ek Din Sapaneme Dekha Sapanaa,Golmal,1979,R D Burman,Duet,Male,Kishor Kumar&Amit Kumar,https://www.youtube.com/watch?v=m7_LfG-xxOk,http://mymp3song.org/filedownload/2630/ek_din_sapne_mein_dekha_sapna
186,Ek Ek Do Do,Mavali,1983,Bappi Lahiri,Duet,Male& Female,Kishor Kumar&Asha Bhosale,https://www.youtube.com/watch?v=hWXprEotT2o,http://mymp3song.org/filedownload/39221/ek_ek_do_do
187,Ek Ek Ho Jaye Phir Ghar Chale jana,Ganga Jamana Saraswati,1988,Annu Malik,Duet,Male,Kishor Kumar& Pankaj Udhas,https://www.youtube.com/watch?v=3wOlcOMrYZ8,http://mymp3song.org/filedownload/2542/ek_ek_ho_jaaye_phir_ghar_chale_jaana
188,Ek haseena Thi,Karj,1980,laxmikant Pyarelal,Duet,Male& Female,Kishor Kumar&Asha Bhosale& Rishi Kapur,https://www.youtube.com/watch?v=JxZk_9AEwiU,http://mymp3song.org/filedownload/11919/ek_haseena_thi
189,Ek Ladki Bhigi Bhagi si,Chalti Ka Nam gadi,1958,S D Burman,Solo,Male,Kishor Kumar,https://www.youtube.com/watch?v=mxYNdy-0CEs,http://mymp3song.org/filedownload/3757/ek_ladki_bheegi_bhagi_si
190,Ek Main Aur Ek Tu,Khe khel Mein,1975,R D Burman,Duet,Male& Female,Kishor Kumar&Asha Bhosale,https://www.youtube.com/watch?v=XeKU6gAqF70,http://mymp3song.org/filedownload/12010/ek_main_aur_ek_tu
